Thickness	P (Bar)	T_30_80_2	T_40_80_2	T_50_80_2	T_60_80_2	T_70_80_2	T_80_80_2
65 	17518 	232 	466 	699 	932 	1166 	1399 
66 	17787 	232 	469 	706 	944 	1181 	1418 
67 	18057 	231 	473 	714 	955 	1197 	1438 
68 	18326 	231 	476 	721 	967 	1212 	1457 
69 	18596 	230 	479 	729 	978 	1227 	1477 
70 	18865 	229 	482 	736 	989 	1242 	1496 
71 	19135 	228 	485 	743 	1000 	1257 	1515 
72 	19404 	227 	488 	750 	1011 	1272 	1534 
73 	19674 	226 	491 	756 	1022 	1287 	1552 
74 	19943 	224 	494 	763 	1032 	1302 	1571 
75 	20213 	223 	496 	770 	1043 	1316 	1590 
76 	20482 	221 	499 	776 	1053 	1331 	1608 
77 	20752 	220 	501 	782 	1064 	1345 	1626 
78 	21021 	218 	503 	789 	1074 	1359 	1645 
79 	21291 	216 	505 	795 	1084 	1373 	1663 
80 	21560 	214 	507 	801 	1094 	1387 	1681 
81 	25799 	213 	508 	804 	1100 	1396 	1692 
82 	26117 	211 	510 	808 	1106 	1405 	1703 
83 	26436 	210 	511 	812 	1113 	1413 	1714 
84 	26754 	209 	512 	816 	1119 	1422 	1726 
85 	27073 	208 	513 	819 	1125 	1431 	1737 
86 	27391 	206 	515 	823 	1131 	1440 	1748 
87 	27710 	205 	516 	827 	1138 	1448 	1759 
88 	28028 	204 	517 	830 	1144 	1457 	1770 
89 	28347 	202 	518 	834 	1150 	1466 	1782 
90 	28665 	201 	520 	838 	1156 	1475 	1793 
91 	28984 	200 	521 	842 	1162 	1483 	1804 
92 	29302 	199 	522 	845 	1169 	1492 	1815 
93 	29621 	197 	523 	849 	1175 	1501 	1827 
94 	29939 	196 	524 	853 	1181 	1509 	1838 
95 	30258 	195 	526 	856 	1187 	1518 	1849 
96 	30576 	194 	527 	860 	1194 	1527 	1860 
97 	30895 	192 	528 	864 	1200 	1536 	1871 
98 	31213 	191 	529 	868 	1206 	1544 	1883 
99 	31532 	190 	530 	871 	1212 	1553 	1894 
100 	31850 	188 	532 	875 	1218 	1562 	1905 
101 	32169 	187 	533 	879 	1225 	1570 	1916 
102 	32487 	186 	534 	882 	1231 	1579 	1927 
103 	32806 	184 	535 	886 	1237 	1588 	1939 
104 	33124 	183 	536 	890 	1243 	1596 	1950 
105 	33443 	182 	538 	893 	1249 	1605 	1961 
106 	33761 	180 	539 	897 	1255 	1614 	1972 
107 	34080 	179 	540 	901 	1262 	1622 	1983 
108 	34398 	178 	541 	904 	1268 	1631 	1994 
109 	34717 	176 	542 	908 	1274 	1640 	2006 
110 	35035 	175 	544 	912 	1280 	1649 	2017 
111 	35354 	174 	545 	916 	1286 	1657 	2028 
112 	35672 	173 	546 	919 	1293 	1666 	2039 
113 	35991 	171 	547 	923 	1299 	1675 	2050 
114 	36309 	170 	548 	927 	1305 	1683 	2062 
115 	36628 	168 	549 	930 	1311 	1692 	2073 
116 	36946 	167 	550 	934 	1317 	1700 	2084 
117 	37265 	166 	552 	937 	1323 	1709 	2095 
118 	37583 	164 	553 	941 	1329 	1718 	2106 
119 	37902 	163 	554 	945 	1336 	1726 	2117 
120 	38220 	162 	555 	948 	1342 	1735 	2128 
121 	38539 	160 	556 	952 	1348 	1744 	2140 
122 	38857 	159 	557 	956 	1354 	1752 	2151 
123 	39176 	158 	559 	959 	1360 	1761 	2162 
124 	39494 	156 	560 	963 	1366 	1770 	2173 
125 	39813 	155 	561 	967 	1372 	1778 	2184 
126 	40131 	154 	562 	970 	1379 	1787 	2195 
127 	40450 	152 	563 	974 	1385 	1796 	2206 
128 	40768 	151 	564 	978 	1391 	1804 	2218 
129 	41087 	149 	565 	981 	1397 	1813 	2229 
130 	41405 	148 	566 	985 	1403 	1821 	2240 
131 	41724 	147 	568 	988 	1409 	1830 	2251 
132 	42042 	145 	569 	992 	1415 	1839 	2262 
133 	42361 	144 	570 	996 	1421 	1847 	2273 
134 	42679 	143 	571 	999 	1428 	1856 	2284 
135 	42998 	141 	572 	1003 	1434 	1865 	2295 
136 	43316 	140 	573 	1006 	1440 	1873 	2306 
137 	43635 	138 	574 	1010 	1446 	1882 	2318 
138 	43953 	137 	575 	1014 	1452 	1890 	2329 
139 	44272 	136 	576 	1017 	1458 	1899 	2340 
140 	44590 	134 	578 	1021 	1464 	1908 	2351 
141 	44909 	133 	579 	1024 	1470 	1916 	2362 
142 	45227 	131 	580 	1028 	1476 	1925 	2373 
143 	45546 	130 	581 	1032 	1482 	1933 	2384 
144 	45864 	129 	582 	1035 	1489 	1942 	2395 
145 	46183 	127 	583 	1039 	1495 	1951 	2406 
146 	46501 	126 	584 	1042 	1501 	1959 	2417 
147 	46820 	124 	585 	1046 	1507 	1968 	2429 
148 	47138 	123 	586 	1050 	1513 	1976 	2440 
149 	47457 	121 	587 	1053 	1519 	1985 	2451 
150 	47775 	120 	588 	1057 	1525 	1993 	2462 
151 	48094 	119 	589 	1060 	1531 	2002 	2473 
152 	48412 	117 	591 	1064 	1537 	2011 	2484 
153 	48731 	116 	592 	1067 	1543 	2019 	2495 
154 	49049 	114 	593 	1071 	1549 	2028 	2506 
155 	49368 	113 	594 	1075 	1555 	2036 	2517 
156 	49686 	111 	595 	1078 	1561 	2045 	2528 
157 	50005 	110 	596 	1082 	1568 	2053 	2539 
158 	50323 	109 	597 	1085 	1574 	2062 	2550 
159 	50642 	107 	598 	1089 	1580 	2070 	2561 
160 	50960 	106 	599 	1092 	1586 	2079 	2572 
161 	51279 	104 	600 	1096 	1592 	2088 	2583 
162 	51597 	103 	601 	1099 	1598 	2096 	2594 
163 	51916 	101 	602 	1103 	1604 	2105 	2605 
164 	52234 	100 	603 	1107 	1610 	2113 	2617 
165 	52553 	98 	604 	1110 	1616 	2122 	2628 
166 	52871 	97 	605 	1114 	1622 	2130 	2639 
167 	53190 	95 	606 	1117 	1628 	2139 	2650 
168 	53508 	94 	607 	1121 	1634 	2147 	2661 
169 	53827 	92 	608 	1124 	1640 	2156 	2672 
170 	54145 	91 	609 	1128 	1646 	2164 	2683 
171 	54464 	90 	610 	1131 	1652 	2173 	2694 
172 	54782 	88 	611 	1135 	1658 	2181 	2705 
173 	55101 	87 	612 	1138 	1664 	2190 	2716 
174 	55419 	85 	613 	1142 	1670 	2198 	2727 
175 	55738 	84 	614 	1145 	1676 	2207 	2738 
176 	56056 	82 	615 	1149 	1682 	2215 	2749 
177 	56375 	81 	616 	1152 	1688 	2224 	2760 
178 	56693 	79 	617 	1156 	1694 	2232 	2771 
179 	57012 	78 	618 	1159 	1700 	2241 	2782 
180 	57330 	76 	619 	1163 	1706 	2249 	2793 
181 	57649 	75 	620 	1166 	1712 	2258 	2804 
182 	57967 	73 	621 	1170 	1718 	2266 	2815 
183 	58286 	72 	622 	1173 	1724 	2275 	2826 
184 	58604 	70 	623 	1177 	1730 	2283 	2837 
185 	58923 	69 	624 	1180 	1736 	2292 	2848 
186 	59241 	67 	625 	1184 	1742 	2300 	2859 
187 	59560 	66 	626 	1187 	1748 	2309 	2870 
188 	59878 	64 	627 	1191 	1754 	2317 	2881 
189 	60197 	62 	628 	1194 	1760 	2326 	2892 
190 	60515 	61 	629 	1198 	1766 	2334 	2903 
191 	60834 	59 	630 	1201 	1772 	2343 	2914 
192 	61152 	58 	631 	1205 	1778 	2351 	2925 
193 	61471 	56 	632 	1208 	1784 	2360 	2936 
194 	61789 	55 	633 	1212 	1790 	2368 	2947 
195 	62108 	53 	634 	1215 	1796 	2377 	2957 
196 	62426 	52 	635 	1218 	1802 	2385 	2968 
197 	62745 	50 	636 	1222 	1808 	2394 	2979 
198 	63063 	49 	637 	1225 	1814 	2402 	2990 
199 	63382 	47 	638 	1229 	1820 	2410 	3001 
200 	63700 	46 	639 	1232 	1826 	2419 	3012 
