Thickness	P (Bar)	T_30_80_2	T_40_80_2	T_50_80_2	T_60_80_2	T_70_80_2	T_80_80_2
0 	0 	0 	0 	0 	0 	0 	0 
1 	270 	9 	13 	16 	19 	23 	26 
2 	539 	18 	25 	31 	38 	45 	51 
3 	809 	27 	37 	47 	57 	67 	77 
4 	1078 	35 	48 	61 	75 	88 	101 
5 	1348 	43 	59 	76 	93 	109 	126 
6 	1617 	50 	70 	90 	110 	130 	150 
7 	1887 	57 	81 	104 	127 	151 	174 
8 	2156 	64 	91 	117 	144 	171 	197 
9 	2426 	71 	101 	131 	161 	191 	221 
10 	2695 	77 	110 	143 	177 	210 	243 
11 	2965 	83 	119 	156 	193 	229 	266 
12 	3234 	89 	129 	169 	209 	249 	289 
13 	3504 	95 	138 	181 	225 	268 	311 
14 	3773 	100 	147 	194 	240 	287 	334 
15 	4043 	106 	156 	206 	256 	306 	356 
16 	4312 	111 	165 	218 	271 	325 	378 
17 	4582 	117 	173 	230 	287 	343 	400 
18 	4851 	122 	182 	242 	302 	362 	422 
19 	5121 	127 	190 	254 	317 	380 	444 
20 	5390 	132 	199 	265 	332 	399 	465 
21 	5660 	137 	207 	277 	347 	417 	487 
22 	5929 	141 	215 	288 	361 	435 	508 
23 	6199 	146 	223 	299 	376 	453 	529 
24 	6468 	150 	230 	310 	390 	470 	550 
25 	6738 	155 	238 	321 	405 	488 	571 
26 	7007 	159 	245 	332 	419 	505 	592 
27 	7277 	163 	253 	343 	433 	523 	613 
28 	7546 	167 	260 	353 	447 	540 	633 
29 	7816 	170 	267 	364 	460 	557 	654 
30 	8085 	174 	274 	374 	474 	574 	674 
31 	8355 	177 	281 	384 	487 	591 	694 
32 	8624 	181 	287 	394 	501 	607 	714 
33 	8894 	184 	294 	404 	514 	624 	734 
34 	9163 	187 	300 	414 	527 	640 	754 
35 	9433 	190 	307 	423 	540 	657 	773 
36 	9702 	193 	313 	433 	553 	673 	793 
37 	9972 	195 	319 	442 	565 	689 	812 
38 	10241 	198 	325 	451 	578 	705 	831 
39 	10511 	200 	330 	460 	590 	720 	850 
40 	10780 	203 	336 	469 	603 	736 	869 
41 	11050 	205 	343 	480 	617 	755 	892 
42 	11319 	208 	349 	490 	632 	773 	914 
43 	11589 	210 	356 	501 	646 	792 	937 
44 	11858 	212 	362 	511 	660 	810 	959 
45 	12128 	215 	368 	521 	675 	828 	981 
46 	12397 	217 	374 	531 	689 	846 	1003 
47 	12667 	218 	380 	541 	702 	864 	1025 
48 	12936 	220 	386 	551 	716 	882 	1047 
49 	13206 	222 	391 	561 	730 	899 	1069 
50 	13475 	223 	397 	570 	743 	917 	1090 
51 	13745 	225 	402 	580 	757 	934 	1112 
52 	14014 	226 	408 	589 	770 	952 	1133 
53 	14284 	227 	413 	598 	783 	969 	1154 
54 	14553 	228 	418 	607 	796 	986 	1175 
55 	14823 	229 	423 	616 	809 	1003 	1196 
56 	15092 	230 	428 	625 	822 	1020 	1217 
57 	15362 	231 	432 	634 	835 	1036 	1238 
58 	15631 	231 	437 	642 	847 	1053 	1258 
59 	15901 	232 	441 	651 	860 	1069 	1279 
60 	16170 	232 	446 	659 	872 	1086 	1299 
61 	16440 	232 	450 	667 	884 	1102 	1319 
62 	16709 	233 	454 	675 	897 	1118 	1339 
63 	16979 	233 	458 	683 	909 	1134 	1359 
64 	17248 	232 	462 	691 	920 	1150 	1379 
