Thickness	P (Bar)	T_30_40_3	T_40_40_3	T_50_40_3	T_60_40_3	T_70_40_3	T_80_40_3
0 	0 	0 	0 	0 	0 	0 	0 
1 	270 	9 	13 	16 	19 	23 	26 
2 	539 	18 	25 	31 	38 	45 	51 
3 	809 	27 	37 	47 	57 	67 	77 
4 	1078 	35 	48 	61 	75 	88 	101 
5 	1348 	43 	59 	76 	93 	109 	126 
6 	1617 	50 	70 	90 	110 	130 	150 
7 	1887 	57 	81 	104 	127 	151 	174 
8 	2156 	64 	91 	117 	144 	171 	197 
9 	2426 	71 	101 	131 	161 	191 	221 
10 	2695 	77 	110 	143 	177 	210 	243 
11 	2965 	83 	119 	156 	193 	229 	266 
12 	3234 	88 	128 	168 	208 	248 	288 
13 	3504 	93 	137 	180 	223 	267 	310 
14 	3773 	99 	147 	194 	241 	289 	336 
15 	4043 	105 	157 	208 	259 	311 	362 
16 	4312 	111 	167 	222 	277 	333 	388 
17 	4582 	117 	177 	236 	295 	355 	414 
18 	4851 	123 	186 	250 	313 	376 	440 
19 	5121 	129 	196 	263 	331 	398 	465 
20 	5390 	134 	206 	277 	348 	420 	491 
21 	5660 	140 	215 	290 	366 	441 	516 
22 	5929 	145 	224 	303 	383 	462 	541 
23 	6199 	150 	233 	317 	400 	483 	567 
24 	6468 	155 	242 	330 	417 	504 	592 
25 	6738 	160 	251 	343 	434 	525 	617 
26 	7007 	165 	260 	355 	451 	546 	641 
27 	7277 	169 	269 	368 	467 	567 	666 
28 	7546 	175 	279 	384 	488 	592 	697 
29 	7816 	181 	290 	399 	509 	618 	727 
30 	8085 	186 	301 	415 	529 	644 	758 
31 	8355 	192 	311 	430 	550 	669 	788 
32 	8624 	197 	321 	446 	570 	694 	819 
33 	8894 	202 	332 	461 	590 	720 	849 
34 	9163 	207 	342 	476 	610 	745 	879 
35 	9433 	213 	352 	491 	631 	770 	909 
36 	9702 	217 	362 	506 	650 	795 	939 
37 	9972 	222 	372 	521 	670 	820 	969 
38 	10241 	227 	381 	536 	690 	844 	999 
39 	10511 	232 	391 	550 	710 	869 	1028 
40 	10780 	236 	401 	565 	729 	894 	1058 
41 	13059 	239 	405 	572 	739 	906 	1073 
42 	13377 	241 	410 	580 	749 	918 	1088 
43 	13696 	243 	415 	587 	759 	930 	1102 
44 	14014 	245 	420 	594 	768 	943 	1117 
45 	14333 	248 	425 	601 	778 	955 	1132 
46 	14651 	250 	429 	609 	788 	967 	1147 
47 	14970 	252 	434 	616 	798 	980 	1161 
48 	15288 	255 	439 	623 	808 	992 	1176 
49 	15607 	257 	444 	631 	817 	1004 	1191 
50 	15925 	259 	448 	638 	827 	1016 	1206 
51 	16244 	261 	453 	645 	837 	1029 	1221 
52 	16562 	264 	458 	652 	847 	1041 	1235 
53 	16881 	266 	463 	660 	856 	1053 	1250 
54 	17199 	268 	468 	667 	866 	1066 	1265 
55 	17518 	270 	472 	674 	876 	1078 	1280 
56 	17836 	273 	477 	681 	886 	1090 	1294 
57 	18155 	275 	482 	689 	895 	1102 	1309 
58 	18473 	277 	487 	696 	905 	1115 	1324 
59 	18792 	279 	491 	703 	915 	1127 	1339 
60 	19110 	282 	496 	710 	925 	1139 	1353 
61 	19429 	284 	501 	718 	934 	1151 	1368 
62 	19747 	286 	506 	725 	944 	1164 	1383 
63 	20066 	288 	510 	732 	954 	1176 	1398 
64 	20384 	291 	515 	739 	964 	1188 	1412 
