Thickness	P (Bar)	T_30_40_3	T_40_40_3	T_50_40_3	T_60_40_3	T_70_40_3	T_80_40_3
65 	20703 	293 	520 	747 	973 	1200 	1427 
66 	21021 	295 	525 	754 	983 	1213 	1442 
67 	21340 	297 	529 	761 	993 	1225 	1457 
68 	21658 	300 	534 	768 	1003 	1237 	1471 
69 	21977 	302 	539 	776 	1012 	1249 	1486 
70 	22295 	304 	543 	783 	1022 	1261 	1501 
71 	22614 	306 	548 	790 	1032 	1274 	1515 
72 	22932 	309 	553 	797 	1042 	1286 	1530 
73 	23251 	311 	558 	804 	1051 	1298 	1545 
74 	23569 	313 	562 	812 	1061 	1310 	1560 
75 	23888 	315 	567 	819 	1071 	1322 	1574 
76 	24206 	317 	572 	826 	1080 	1335 	1589 
77 	24525 	320 	576 	833 	1090 	1347 	1604 
78 	24843 	322 	581 	840 	1100 	1359 	1618 
79 	25162 	324 	586 	848 	1109 	1371 	1633 
80 	25480 	326 	591 	855 	1119 	1384 	1648 
81 	25799 	328 	595 	862 	1129 	1396 	1663 
82 	26117 	331 	600 	869 	1139 	1408 	1677 
83 	26436 	333 	605 	876 	1148 	1420 	1692 
84 	26754 	335 	609 	884 	1158 	1432 	1707 
85 	27073 	337 	614 	891 	1168 	1444 	1721 
86 	27391 	339 	619 	898 	1177 	1457 	1736 
87 	27710 	341 	623 	905 	1187 	1469 	1751 
88 	28028 	344 	628 	912 	1197 	1481 	1765 
89 	28347 	346 	633 	920 	1206 	1493 	1780 
90 	28665 	348 	637 	927 	1216 	1505 	1795 
91 	28984 	350 	642 	934 	1226 	1518 	1809 
92 	29302 	352 	647 	941 	1235 	1530 	1824 
93 	29621 	355 	651 	948 	1245 	1542 	1839 
94 	29939 	357 	656 	955 	1255 	1554 	1853 
95 	30258 	359 	661 	963 	1264 	1566 	1868 
96 	30576 	361 	665 	970 	1274 	1578 	1883 
97 	30895 	363 	670 	977 	1284 	1591 	1897 
98 	31213 	365 	675 	984 	1293 	1603 	1912 
99 	31532 	367 	679 	991 	1303 	1615 	1927 
100 	31850 	370 	684 	998 	1313 	1627 	1941 
101 	32169 	372 	689 	1005 	1322 	1639 	1956 
102 	32487 	374 	693 	1013 	1332 	1651 	1971 
103 	32806 	376 	698 	1020 	1342 	1663 	1985 
104 	33124 	378 	703 	1027 	1351 	1676 	2000 
105 	33443 	380 	707 	1034 	1361 	1688 	2014 
106 	33761 	382 	712 	1041 	1370 	1700 	2029 
107 	34080 	385 	716 	1048 	1380 	1712 	2044 
108 	34398 	387 	721 	1055 	1390 	1724 	2058 
109 	34717 	389 	726 	1063 	1399 	1736 	2073 
110 	35035 	391 	730 	1070 	1409 	1748 	2088 
111 	35354 	393 	735 	1077 	1419 	1760 	2102 
112 	35672 	395 	740 	1084 	1428 	1773 	2117 
113 	35991 	397 	744 	1091 	1438 	1785 	2131 
114 	36309 	399 	749 	1098 	1447 	1797 	2146 
115 	36628 	402 	753 	1105 	1457 	1809 	2161 
116 	36946 	404 	758 	1112 	1467 	1821 	2175 
117 	37265 	406 	763 	1119 	1476 	1833 	2190 
118 	37583 	408 	767 	1127 	1486 	1845 	2205 
119 	37902 	410 	772 	1134 	1495 	1857 	2219 
120 	38220 	412 	776 	1141 	1505 	1869 	2234 
121 	38539 	414 	781 	1148 	1515 	1882 	2248 
122 	38857 	416 	786 	1155 	1524 	1894 	2263 
123 	39176 	418 	790 	1162 	1534 	1906 	2278 
124 	39494 	420 	795 	1169 	1543 	1918 	2292 
125 	39813 	423 	799 	1176 	1553 	1930 	2307 
126 	40131 	425 	804 	1183 	1563 	1942 	2321 
127 	40450 	427 	809 	1190 	1572 	1954 	2336 
128 	40768 	429 	813 	1197 	1582 	1966 	2350 
129 	41087 	431 	818 	1205 	1591 	1978 	2365 
130 	41405 	433 	822 	1212 	1601 	1990 	2380 
131 	41724 	435 	827 	1219 	1610 	2002 	2394 
132 	42042 	437 	831 	1226 	1620 	2014 	2409 
133 	42361 	439 	836 	1233 	1630 	2026 	2423 
134 	42679 	441 	841 	1240 	1639 	2039 	2438 
135 	42998 	443 	845 	1247 	1649 	2051 	2452 
136 	43316 	445 	850 	1254 	1658 	2063 	2467 
137 	43635 	447 	854 	1261 	1668 	2075 	2482 
138 	43953 	449 	859 	1268 	1677 	2087 	2496 
139 	44272 	451 	863 	1275 	1687 	2099 	2511 
140 	44590 	454 	868 	1282 	1697 	2111 	2525 
141 	44909 	456 	872 	1289 	1706 	2123 	2540 
142 	45227 	458 	877 	1296 	1716 	2135 	2554 
143 	45546 	460 	881 	1303 	1725 	2147 	2569 
144 	45864 	462 	886 	1310 	1735 	2159 	2583 
145 	46183 	464 	891 	1317 	1744 	2171 	2598 
146 	46501 	466 	895 	1324 	1754 	2183 	2612 
147 	46820 	468 	900 	1331 	1763 	2195 	2627 
148 	47138 	470 	904 	1338 	1773 	2207 	2641 
149 	47457 	472 	909 	1346 	1782 	2219 	2656 
150 	47775 	474 	913 	1353 	1792 	2231 	2671 
151 	48094 	476 	918 	1360 	1801 	2243 	2685 
152 	48412 	478 	922 	1367 	1811 	2255 	2700 
153 	48731 	480 	927 	1374 	1820 	2267 	2714 
154 	49049 	482 	931 	1381 	1830 	2279 	2729 
155 	49368 	484 	936 	1388 	1839 	2291 	2743 
156 	49686 	486 	940 	1395 	1849 	2303 	2758 
157 	50005 	488 	945 	1402 	1858 	2315 	2772 
158 	50323 	490 	949 	1409 	1868 	2327 	2787 
159 	50642 	492 	954 	1416 	1877 	2339 	2801 
160 	50960 	494 	958 	1423 	1887 	2351 	2816 
161 	51279 	496 	963 	1430 	1896 	2363 	2830 
162 	51597 	498 	967 	1437 	1906 	2375 	2845 
163 	51916 	500 	972 	1444 	1915 	2387 	2859 
164 	52234 	502 	976 	1451 	1925 	2399 	2874 
165 	52553 	504 	981 	1458 	1934 	2411 	2888 
166 	52871 	506 	985 	1465 	1944 	2423 	2903 
167 	53190 	508 	990 	1472 	1953 	2435 	2917 
168 	53508 	510 	994 	1479 	1963 	2447 	2932 
169 	53827 	512 	999 	1486 	1972 	2459 	2946 
170 	54145 	514 	1003 	1492 	1982 	2471 	2960 
171 	54464 	516 	1008 	1499 	1991 	2483 	2975 
172 	54782 	518 	1012 	1506 	2001 	2495 	2989 
173 	55101 	520 	1017 	1513 	2010 	2507 	3004 
174 	55419 	522 	1021 	1520 	2020 	2519 	3018 
175 	55738 	524 	1025 	1527 	2029 	2531 	3033 
176 	56056 	526 	1030 	1534 	2039 	2543 	3047 
177 	56375 	528 	1034 	1541 	2048 	2555 	3062 
178 	56693 	530 	1039 	1548 	2058 	2567 	3076 
179 	57012 	531 	1043 	1555 	2067 	2579 	3091 
180 	57330 	533 	1048 	1562 	2076 	2591 	3105 
181 	57649 	535 	1052 	1569 	2086 	2603 	3120 
182 	57967 	537 	1057 	1576 	2095 	2615 	3134 
183 	58286 	539 	1061 	1583 	2105 	2627 	3148 
184 	58604 	541 	1066 	1590 	2114 	2639 	3163 
185 	58923 	543 	1070 	1597 	2124 	2650 	3177 
186 	59241 	545 	1074 	1604 	2133 	2662 	3192 
187 	59560 	547 	1079 	1611 	2142 	2674 	3206 
188 	59878 	549 	1083 	1618 	2152 	2686 	3221 
189 	60197 	551 	1088 	1625 	2161 	2698 	3235 
190 	60515 	553 	1092 	1631 	2171 	2710 	3249 
191 	60834 	555 	1097 	1638 	2180 	2722 	3264 
192 	61152 	557 	1101 	1645 	2190 	2734 	3278 
193 	61471 	559 	1105 	1652 	2199 	2746 	3293 
194 	61789 	560 	1110 	1659 	2208 	2758 	3307 
195 	62108 	562 	1114 	1666 	2218 	2770 	3322 
196 	62426 	564 	1119 	1673 	2227 	2782 	3336 
197 	62745 	566 	1123 	1680 	2237 	2794 	3350 
198 	63063 	568 	1127 	1687 	2246 	2805 	3365 
199 	63382 	570 	1132 	1694 	2255 	2817 	3379 
200 	63700 	572 	1136 	1701 	2265 	2829 	3394 
