Thickness	P (Bar)	T_30_60_2	T_40_60_2	T_50_60_2	T_60_60_2	T_70_60_2	T_80_60_2
0 	0 	0 	0 	0 	0 	0 	0 
1 	270 	9 	13 	16 	19 	23 	26 
2 	539 	18 	25 	31 	38 	45 	51 
3 	809 	27 	37 	47 	57 	67 	77 
4 	1078 	35 	48 	61 	75 	88 	101 
5 	1348 	43 	59 	76 	93 	109 	126 
6 	1617 	50 	70 	90 	110 	130 	150 
7 	1887 	57 	81 	104 	127 	151 	174 
8 	2156 	64 	91 	117 	144 	171 	197 
9 	2426 	71 	101 	131 	161 	191 	221 
10 	2695 	77 	110 	143 	177 	210 	243 
11 	2965 	83 	119 	156 	193 	229 	266 
12 	3234 	89 	129 	169 	209 	249 	289 
13 	3504 	95 	138 	181 	225 	268 	311 
14 	3773 	100 	147 	194 	240 	287 	334 
15 	4043 	106 	156 	206 	256 	306 	356 
16 	4312 	111 	165 	218 	271 	325 	378 
17 	4582 	117 	173 	230 	287 	343 	400 
18 	4851 	122 	182 	242 	302 	362 	422 
19 	5121 	127 	190 	254 	317 	380 	444 
20 	5390 	132 	199 	265 	332 	399 	465 
21 	5660 	137 	207 	277 	347 	417 	487 
22 	5929 	141 	215 	288 	361 	435 	508 
23 	6199 	146 	223 	299 	376 	453 	529 
24 	6468 	150 	230 	310 	390 	470 	550 
25 	6738 	155 	238 	321 	405 	488 	571 
26 	7007 	159 	245 	332 	419 	505 	592 
27 	7277 	163 	253 	343 	433 	523 	613 
28 	7546 	167 	260 	353 	447 	540 	633 
29 	7816 	170 	267 	364 	460 	557 	654 
30 	8085 	174 	274 	374 	474 	574 	674 
31 	8355 	178 	282 	386 	490 	594 	698 
32 	8624 	182 	290 	398 	506 	614 	722 
33 	8894 	186 	298 	410 	522 	634 	746 
34 	9163 	190 	306 	422 	538 	654 	770 
35 	9433 	194 	314 	434 	554 	674 	794 
36 	9702 	198 	322 	446 	570 	694 	818 
37 	9972 	201 	329 	457 	585 	713 	841 
38 	10241 	204 	336 	468 	600 	732 	864 
39 	10511 	208 	344 	480 	616 	752 	888 
40 	10780 	211 	351 	491 	631 	771 	911 
41 	11050 	214 	358 	502 	646 	790 	934 
42 	11319 	217 	365 	513 	661 	809 	957 
43 	11589 	220 	372 	524 	676 	828 	980 
44 	11858 	222 	378 	534 	690 	846 	1002 
45 	12128 	225 	385 	545 	705 	865 	1025 
46 	12397 	227 	391 	555 	719 	883 	1047 
47 	12667 	229 	397 	565 	733 	901 	1069 
48 	12936 	232 	404 	576 	748 	920 	1092 
49 	13206 	234 	410 	586 	762 	938 	1114 
50 	13475 	236 	416 	596 	776 	956 	1136 
51 	13745 	237 	421 	605 	789 	973 	1157 
52 	14014 	239 	427 	615 	803 	991 	1179 
53 	14284 	241 	433 	625 	817 	1009 	1201 
54 	14553 	242 	438 	634 	830 	1026 	1222 
55 	14823 	244 	444 	644 	844 	1044 	1244 
56 	15092 	245 	449 	653 	857 	1061 	1265 
57 	15362 	246 	454 	662 	870 	1078 	1286 
58 	15631 	247 	459 	671 	883 	1095 	1307 
59 	15901 	248 	464 	680 	896 	1112 	1328 
60 	16170 	248 	468 	688 	908 	1128 	1348 
61 	19429 	249 	471 	694 	916 	1139 	1361 
62 	19747 	249 	474 	699 	924 	1149 	1374 
63 	20066 	250 	477 	705 	932 	1160 	1387 
64 	20384 	250 	480 	710 	940 	1170 	1400 
