Thickness	P (Bar)	T_30_40_2	T_40_40_2	T_50_40_2	T_60_40_2	T_70_40_2	T_80_40_2
0 	0 	0 	0 	0 	0 	0 	0 
1 	270 	9 	13 	16 	19 	23 	26 
2 	539 	18 	25 	31 	38 	45 	51 
3 	809 	27 	37 	47 	57 	67 	77 
4 	1078 	35 	48 	61 	75 	88 	101 
5 	1348 	43 	59 	76 	93 	109 	126 
6 	1617 	50 	70 	90 	110 	130 	150 
7 	1887 	57 	81 	104 	127 	151 	174 
8 	2156 	64 	91 	117 	144 	171 	197 
9 	2426 	71 	101 	131 	161 	191 	221 
10 	2695 	77 	110 	143 	177 	210 	243 
11 	2965 	83 	119 	156 	193 	229 	266 
12 	3234 	89 	129 	169 	209 	249 	289 
13 	3504 	95 	138 	181 	225 	268 	311 
14 	3773 	100 	147 	194 	240 	287 	334 
15 	4043 	106 	156 	206 	256 	306 	356 
16 	4312 	111 	165 	218 	271 	325 	378 
17 	4582 	117 	173 	230 	287 	343 	400 
18 	4851 	122 	182 	242 	302 	362 	422 
19 	5121 	127 	190 	254 	317 	380 	444 
20 	5390 	132 	199 	265 	332 	399 	465 
21 	5660 	138 	208 	279 	350 	420 	491 
22 	5929 	144 	218 	293 	368 	442 	517 
23 	6199 	149 	228 	306 	385 	464 	542 
24 	6468 	155 	237 	320 	403 	485 	568 
25 	6738 	160 	247 	333 	420 	507 	593 
26 	7007 	165 	256 	346 	437 	528 	618 
27 	7277 	170 	265 	360 	454 	549 	644 
28 	7546 	175 	274 	373 	471 	570 	669 
29 	7816 	180 	283 	385 	488 	591 	693 
30 	8085 	185 	291 	398 	505 	611 	718 
31 	8355 	189 	300 	411 	521 	632 	743 
32 	8624 	194 	309 	423 	538 	653 	767 
33 	8894 	198 	317 	436 	554 	673 	792 
34 	9163 	203 	325 	448 	571 	693 	816 
35 	9433 	207 	333 	460 	587 	713 	840 
36 	9702 	211 	341 	472 	603 	733 	864 
37 	9972 	215 	349 	484 	619 	753 	888 
38 	10241 	218 	357 	496 	634 	773 	912 
39 	10511 	222 	365 	507 	650 	793 	935 
40 	10780 	226 	372 	519 	666 	812 	959 
41 	13059 	228 	377 	526 	675 	825 	974 
42 	13377 	230 	382 	533 	685 	837 	988 
43 	13696 	232 	386 	541 	695 	849 	1003 
44 	14014 	235 	391 	548 	705 	861 	1018 
45 	14333 	237 	396 	555 	714 	873 	1033 
46 	14651 	239 	401 	562 	724 	886 	1047 
47 	14970 	241 	405 	570 	734 	898 	1062 
48 	15288 	244 	410 	577 	744 	910 	1077 
49 	15607 	246 	415 	584 	753 	922 	1092 
50 	15925 	248 	420 	591 	763 	935 	1106 
51 	16244 	250 	424 	599 	773 	947 	1121 
52 	16562 	252 	429 	606 	782 	959 	1136 
53 	16881 	255 	434 	613 	792 	971 	1150 
54 	17199 	257 	438 	620 	802 	983 	1165 
55 	17518 	259 	443 	627 	812 	996 	1180 
56 	17836 	261 	448 	635 	821 	1008 	1195 
57 	18155 	263 	453 	642 	831 	1020 	1209 
58 	18473 	266 	457 	649 	841 	1032 	1224 
59 	18792 	268 	462 	656 	850 	1045 	1239 
60 	19110 	270 	467 	663 	860 	1057 	1253 
61 	19429 	272 	471 	671 	870 	1069 	1268 
62 	19747 	274 	476 	678 	879 	1081 	1283 
63 	20066 	277 	481 	685 	889 	1093 	1297 
64 	20384 	279 	485 	692 	899 	1105 	1312 
