Thickness	P (Bar)	T_30_40_2	T_40_40_2	T_50_40_2	T_60_40_2	T_70_40_2	T_80_40_2
65 	20703 	281 	490 	699 	909 	1118 	1327 
66 	21021 	283 	495 	707 	918 	1130 	1342 
67 	21340 	285 	500 	714 	928 	1142 	1356 
68 	21658 	288 	504 	721 	938 	1154 	1371 
69 	21977 	290 	509 	728 	947 	1166 	1386 
70 	22295 	292 	514 	735 	957 	1179 	1400 
71 	22614 	294 	518 	742 	967 	1191 	1415 
72 	22932 	296 	523 	750 	976 	1203 	1430 
73 	23251 	298 	528 	757 	986 	1215 	1444 
74 	23569 	301 	532 	764 	996 	1227 	1459 
75 	23888 	303 	537 	771 	1005 	1239 	1474 
76 	24206 	305 	542 	778 	1015 	1252 	1488 
77 	24525 	307 	546 	785 	1025 	1264 	1503 
78 	24843 	309 	551 	793 	1034 	1276 	1518 
79 	25162 	311 	556 	800 	1044 	1288 	1532 
80 	25480 	314 	560 	807 	1054 	1300 	1547 
81 	25799 	316 	565 	814 	1063 	1312 	1561 
82 	26117 	318 	569 	821 	1073 	1324 	1576 
83 	26436 	320 	574 	828 	1082 	1337 	1591 
84 	26754 	322 	579 	835 	1092 	1349 	1605 
85 	27073 	324 	583 	843 	1102 	1361 	1620 
86 	27391 	326 	588 	850 	1111 	1373 	1635 
87 	27710 	328 	593 	857 	1121 	1385 	1649 
88 	28028 	331 	597 	864 	1131 	1397 	1664 
89 	28347 	333 	602 	871 	1140 	1409 	1679 
90 	28665 	335 	607 	878 	1150 	1422 	1693 
91 	28984 	337 	611 	885 	1159 	1434 	1708 
92 	29302 	339 	616 	892 	1169 	1446 	1722 
93 	29621 	341 	620 	900 	1179 	1458 	1737 
94 	29939 	343 	625 	907 	1188 	1470 	1752 
95 	30258 	345 	630 	914 	1198 	1482 	1766 
96 	30576 	348 	634 	921 	1208 	1494 	1781 
97 	30895 	350 	639 	928 	1217 	1506 	1795 
98 	31213 	352 	643 	935 	1227 	1518 	1810 
99 	31532 	354 	648 	942 	1236 	1531 	1825 
100 	31850 	356 	653 	949 	1246 	1543 	1839 
101 	32169 	358 	657 	956 	1256 	1555 	1854 
102 	32487 	360 	662 	963 	1265 	1567 	1868 
103 	32806 	362 	666 	971 	1275 	1579 	1883 
104 	33124 	364 	671 	978 	1284 	1591 	1898 
105 	33443 	366 	676 	985 	1294 	1603 	1912 
106 	33761 	368 	680 	992 	1303 	1615 	1927 
107 	34080 	371 	685 	999 	1313 	1627 	1941 
108 	34398 	373 	689 	1006 	1323 	1639 	1956 
109 	34717 	375 	694 	1013 	1332 	1651 	1971 
110 	35035 	377 	698 	1020 	1342 	1663 	1985 
111 	35354 	379 	703 	1027 	1351 	1676 	2000 
112 	35672 	381 	708 	1034 	1361 	1688 	2014 
113 	35991 	383 	712 	1041 	1371 	1700 	2029 
114 	36309 	385 	717 	1048 	1380 	1712 	2043 
115 	36628 	387 	721 	1055 	1390 	1724 	2058 
116 	36946 	389 	726 	1063 	1399 	1736 	2073 
117 	37265 	391 	730 	1070 	1409 	1748 	2087 
118 	37583 	393 	735 	1077 	1418 	1760 	2102 
119 	37902 	395 	740 	1084 	1428 	1772 	2116 
120 	38220 	397 	744 	1091 	1437 	1784 	2131 
121 	38539 	399 	749 	1098 	1447 	1796 	2145 
122 	38857 	401 	753 	1105 	1456 	1808 	2160 
123 	39176 	404 	758 	1112 	1466 	1820 	2174 
124 	39494 	406 	762 	1119 	1476 	1832 	2189 
125 	39813 	408 	767 	1126 	1485 	1844 	2203 
126 	40131 	410 	771 	1133 	1495 	1856 	2218 
127 	40450 	412 	776 	1140 	1504 	1868 	2233 
128 	40768 	414 	780 	1147 	1514 	1880 	2247 
129 	41087 	416 	785 	1154 	1523 	1892 	2262 
130 	41405 	418 	789 	1161 	1533 	1904 	2276 
131 	41724 	420 	794 	1168 	1542 	1916 	2291 
132 	42042 	422 	798 	1175 	1552 	1928 	2305 
133 	42361 	424 	803 	1182 	1561 	1940 	2320 
134 	42679 	426 	807 	1189 	1571 	1952 	2334 
135 	42998 	428 	812 	1196 	1580 	1964 	2349 
136 	43316 	430 	817 	1203 	1590 	1977 	2363 
137 	43635 	432 	821 	1210 	1599 	1989 	2378 
138 	43953 	434 	826 	1217 	1609 	2001 	2392 
139 	44272 	436 	830 	1224 	1618 	2013 	2407 
140 	44590 	438 	835 	1231 	1628 	2025 	2421 
141 	44909 	440 	839 	1238 	1637 	2037 	2436 
142 	45227 	442 	844 	1245 	1647 	2049 	2450 
143 	45546 	444 	848 	1252 	1656 	2060 	2465 
144 	45864 	446 	852 	1259 	1666 	2072 	2479 
145 	46183 	448 	857 	1266 	1675 	2084 	2494 
146 	46501 	450 	861 	1273 	1685 	2096 	2508 
147 	46820 	452 	866 	1280 	1694 	2108 	2523 
148 	47138 	454 	870 	1287 	1704 	2120 	2537 
149 	47457 	456 	875 	1294 	1713 	2132 	2552 
150 	47775 	458 	879 	1301 	1723 	2144 	2566 
151 	48094 	460 	884 	1308 	1732 	2156 	2581 
152 	48412 	462 	888 	1315 	1742 	2168 	2595 
153 	48731 	464 	893 	1322 	1751 	2180 	2609 
154 	49049 	466 	897 	1329 	1761 	2192 	2624 
155 	49368 	468 	902 	1336 	1770 	2204 	2638 
156 	49686 	469 	906 	1343 	1779 	2216 	2653 
157 	50005 	471 	911 	1350 	1789 	2228 	2667 
158 	50323 	473 	915 	1357 	1798 	2240 	2682 
159 	50642 	475 	920 	1364 	1808 	2252 	2696 
160 	50960 	477 	924 	1371 	1817 	2264 	2711 
161 	51279 	479 	928 	1378 	1827 	2276 	2725 
162 	51597 	481 	933 	1385 	1836 	2288 	2740 
163 	51916 	483 	937 	1391 	1846 	2300 	2754 
164 	52234 	485 	942 	1398 	1855 	2312 	2768 
165 	52553 	487 	946 	1405 	1865 	2324 	2783 
166 	52871 	489 	951 	1412 	1874 	2336 	2797 
167 	53190 	491 	955 	1419 	1883 	2348 	2812 
168 	53508 	493 	959 	1426 	1893 	2359 	2826 
169 	53827 	495 	964 	1433 	1902 	2371 	2841 
170 	54145 	497 	968 	1440 	1912 	2383 	2855 
171 	54464 	499 	973 	1447 	1921 	2395 	2869 
172 	54782 	500 	977 	1454 	1930 	2407 	2884 
173 	55101 	502 	982 	1461 	1940 	2419 	2898 
174 	55419 	504 	986 	1468 	1949 	2431 	2913 
175 	55738 	506 	990 	1475 	1959 	2443 	2927 
176 	56056 	508 	995 	1481 	1968 	2455 	2941 
177 	56375 	510 	999 	1488 	1978 	2467 	2956 
178 	56693 	512 	1004 	1495 	1987 	2479 	2970 
179 	57012 	514 	1008 	1502 	1996 	2491 	2985 
180 	57330 	516 	1012 	1509 	2006 	2502 	2999 
181 	57649 	518 	1017 	1516 	2015 	2514 	3013 
182 	57967 	520 	1021 	1523 	2025 	2526 	3028 
183 	58286 	521 	1026 	1530 	2034 	2538 	3042 
184 	58604 	523 	1030 	1537 	2043 	2550 	3057 
185 	58923 	525 	1034 	1544 	2053 	2562 	3071 
186 	59241 	527 	1039 	1550 	2062 	2574 	3085 
187 	59560 	529 	1043 	1557 	2071 	2586 	3100 
188 	59878 	531 	1048 	1564 	2081 	2598 	3114 
189 	60197 	533 	1052 	1571 	2090 	2609 	3129 
190 	60515 	535 	1056 	1578 	2100 	2621 	3143 
191 	60834 	536 	1061 	1585 	2109 	2633 	3157 
192 	61152 	538 	1065 	1592 	2118 	2645 	3172 
193 	61471 	540 	1069 	1599 	2128 	2657 	3186 
194 	61789 	542 	1074 	1605 	2137 	2669 	3200 
195 	62108 	544 	1078 	1612 	2146 	2681 	3215 
196 	62426 	546 	1082 	1619 	2156 	2692 	3229 
197 	62745 	548 	1087 	1626 	2165 	2704 	3243 
198 	63063 	550 	1091 	1633 	2175 	2716 	3258 
199 	63382 	551 	1096 	1640 	2184 	2728 	3272 
200 	63700 	553 	1100 	1647 	2193 	2740 	3287 
