Thickness	P (Bar)	T_30_60_3	T_40_60_3	T_50_60_3	T_60_60_3	T_70_60_3	T_80_60_3
0 	0 	0 	0 	0 	0 	0 	0 
1 	270 	9 	13 	16 	19 	23 	26 
2 	539 	18 	25 	31 	38 	45 	51 
3 	809 	27 	37 	47 	57 	67 	77 
4 	1078 	35 	48 	61 	75 	88 	101 
5 	1348 	43 	59 	76 	93 	109 	126 
6 	1617 	50 	70 	90 	110 	130 	150 
7 	1887 	57 	81 	104 	127 	151 	174 
8 	2156 	64 	91 	117 	144 	171 	197 
9 	2426 	71 	101 	131 	161 	191 	221 
10 	2695 	77 	110 	143 	177 	210 	243 
11 	2965 	83 	119 	156 	193 	229 	266 
12 	3234 	89 	129 	169 	209 	249 	289 
13 	3504 	95 	138 	181 	225 	268 	311 
14 	3773 	100 	147 	194 	240 	287 	334 
15 	4043 	106 	156 	206 	256 	306 	356 
16 	4312 	111 	165 	218 	271 	325 	378 
17 	4582 	117 	173 	230 	287 	343 	400 
18 	4851 	122 	182 	242 	302 	362 	422 
19 	5121 	127 	190 	254 	317 	380 	444 
20 	5390 	132 	199 	265 	332 	399 	465 
21 	5660 	138 	208 	279 	350 	420 	491 
22 	5929 	144 	218 	293 	368 	442 	517 
23 	6199 	149 	228 	306 	385 	464 	542 
24 	6468 	155 	237 	320 	403 	485 	568 
25 	6738 	160 	247 	333 	420 	507 	593 
26 	7007 	165 	256 	346 	437 	528 	618 
27 	7277 	170 	265 	360 	454 	549 	644 
28 	7546 	175 	274 	373 	471 	570 	669 
29 	7816 	180 	283 	385 	488 	591 	693 
30 	8085 	185 	291 	398 	505 	611 	718 
31 	8355 	189 	300 	411 	521 	632 	743 
32 	8624 	194 	309 	423 	538 	653 	767 
33 	8894 	198 	317 	436 	554 	673 	792 
34 	9163 	203 	325 	448 	571 	693 	816 
35 	9433 	207 	333 	460 	587 	713 	840 
36 	9702 	211 	341 	472 	603 	733 	864 
37 	9972 	215 	349 	484 	619 	753 	888 
38 	10241 	218 	357 	496 	634 	773 	912 
39 	10511 	222 	365 	507 	650 	793 	935 
40 	10780 	226 	372 	519 	666 	812 	959 
41 	11050 	230 	382 	533 	685 	837 	988 
42 	11319 	234 	391 	548 	704 	861 	1018 
43 	11589 	238 	400 	562 	723 	885 	1047 
44 	11858 	242 	409 	576 	742 	909 	1076 
45 	12128 	246 	418 	590 	761 	933 	1105 
46 	12397 	250 	427 	604 	780 	957 	1134 
47 	12667 	254 	436 	617 	799 	981 	1162 
48 	12936 	258 	444 	631 	818 	1004 	1191 
49 	13206 	261 	453 	644 	836 	1028 	1219 
50 	13475 	265 	461 	658 	855 	1051 	1248 
51 	13745 	268 	470 	671 	873 	1075 	1276 
52 	14014 	271 	478 	685 	891 	1098 	1305 
53 	14284 	274 	486 	698 	909 	1121 	1333 
54 	14553 	277 	494 	711 	927 	1144 	1361 
55 	14823 	280 	502 	724 	945 	1167 	1389 
56 	15092 	283 	510 	737 	963 	1190 	1417 
57 	15362 	286 	518 	749 	981 	1213 	1444 
58 	15631 	289 	525 	762 	999 	1235 	1472 
59 	15901 	291 	533 	774 	1016 	1258 	1499 
60 	16170 	294 	540 	787 	1034 	1280 	1527 
61 	19429 	295 	544 	793 	1042 	1292 	1541 
62 	19747 	296 	548 	799 	1051 	1303 	1554 
63 	20066 	297 	551 	806 	1060 	1314 	1568 
64 	20384 	299 	555 	812 	1069 	1325 	1582 
