Thickness	P (Bar)	T_30_60_3	T_40_60_3	T_50_60_3	T_60_60_3	T_70_60_3	T_80_60_3
65 	20703 	300 	559 	818 	1077 	1336 	1596 
66 	21021 	301 	563 	824 	1086 	1348 	1609 
67 	21340 	302 	566 	831 	1095 	1359 	1623 
68 	21658 	304 	570 	837 	1104 	1370 	1637 
69 	21977 	305 	574 	843 	1112 	1381 	1651 
70 	22295 	306 	578 	849 	1121 	1393 	1664 
71 	22614 	307 	581 	856 	1130 	1404 	1678 
72 	22932 	308 	585 	862 	1138 	1415 	1692 
73 	23251 	310 	589 	868 	1147 	1426 	1705 
74 	23569 	311 	592 	874 	1156 	1437 	1719 
75 	23888 	312 	596 	880 	1165 	1449 	1733 
76 	24206 	313 	600 	887 	1173 	1460 	1747 
77 	24525 	314 	604 	893 	1182 	1471 	1760 
78 	24843 	316 	607 	899 	1191 	1482 	1774 
79 	25162 	317 	611 	905 	1199 	1494 	1788 
80 	25480 	318 	615 	911 	1208 	1505 	1801 
81 	25799 	319 	618 	918 	1217 	1516 	1815 
82 	26117 	320 	622 	924 	1225 	1527 	1829 
83 	26436 	322 	626 	930 	1234 	1538 	1842 
84 	26754 	323 	629 	936 	1243 	1549 	1856 
85 	27073 	324 	633 	942 	1252 	1561 	1870 
86 	27391 	325 	637 	949 	1260 	1572 	1884 
87 	27710 	326 	641 	955 	1269 	1583 	1897 
88 	28028 	328 	644 	961 	1278 	1594 	1911 
89 	28347 	329 	648 	967 	1286 	1605 	1925 
90 	28665 	330 	652 	973 	1295 	1617 	1938 
91 	28984 	331 	655 	979 	1304 	1628 	1952 
92 	29302 	332 	659 	986 	1312 	1639 	1966 
93 	29621 	333 	663 	992 	1321 	1650 	1979 
94 	29939 	335 	666 	998 	1330 	1661 	1993 
95 	30258 	336 	670 	1004 	1338 	1672 	2007 
96 	30576 	337 	674 	1010 	1347 	1684 	2020 
97 	30895 	338 	677 	1016 	1356 	1695 	2034 
98 	31213 	339 	681 	1023 	1364 	1706 	2048 
99 	31532 	340 	685 	1029 	1373 	1717 	2061 
100 	31850 	342 	688 	1035 	1382 	1728 	2075 
101 	32169 	343 	692 	1041 	1390 	1739 	2088 
102 	32487 	344 	695 	1047 	1399 	1750 	2102 
103 	32806 	345 	699 	1053 	1407 	1762 	2116 
104 	33124 	346 	703 	1059 	1416 	1773 	2129 
105 	33443 	347 	706 	1066 	1425 	1784 	2143 
106 	33761 	348 	710 	1072 	1433 	1795 	2157 
107 	34080 	349 	714 	1078 	1442 	1806 	2170 
108 	34398 	351 	717 	1084 	1451 	1817 	2184 
109 	34717 	352 	721 	1090 	1459 	1828 	2198 
110 	35035 	353 	725 	1096 	1468 	1840 	2211 
111 	35354 	354 	728 	1102 	1476 	1851 	2225 
112 	35672 	355 	732 	1108 	1485 	1862 	2238 
113 	35991 	356 	735 	1115 	1494 	1873 	2252 
114 	36309 	357 	739 	1121 	1502 	1884 	2266 
115 	36628 	358 	743 	1127 	1511 	1895 	2279 
116 	36946 	360 	746 	1133 	1520 	1906 	2293 
117 	37265 	361 	750 	1139 	1528 	1917 	2306 
118 	37583 	362 	753 	1145 	1537 	1928 	2320 
119 	37902 	363 	757 	1151 	1545 	1940 	2334 
120 	38220 	364 	761 	1157 	1554 	1951 	2347 
121 	38539 	365 	764 	1163 	1563 	1962 	2361 
122 	38857 	366 	768 	1169 	1571 	1973 	2374 
123 	39176 	367 	771 	1176 	1580 	1984 	2388 
124 	39494 	368 	775 	1182 	1588 	1995 	2402 
125 	39813 	369 	779 	1188 	1597 	2006 	2415 
126 	40131 	370 	782 	1194 	1605 	2017 	2429 
127 	40450 	372 	786 	1200 	1614 	2028 	2442 
128 	40768 	373 	789 	1206 	1623 	2039 	2456 
129 	41087 	374 	793 	1212 	1631 	2050 	2470 
130 	41405 	375 	796 	1218 	1640 	2061 	2483 
131 	41724 	376 	800 	1224 	1648 	2073 	2497 
132 	42042 	377 	804 	1230 	1657 	2084 	2510 
133 	42361 	378 	807 	1236 	1666 	2095 	2524 
134 	42679 	379 	811 	1242 	1674 	2106 	2537 
135 	42998 	380 	814 	1248 	1683 	2117 	2551 
136 	43316 	381 	818 	1255 	1691 	2128 	2565 
137 	43635 	382 	821 	1261 	1700 	2139 	2578 
138 	43953 	383 	825 	1267 	1708 	2150 	2592 
139 	44272 	384 	829 	1273 	1717 	2161 	2605 
140 	44590 	385 	832 	1279 	1725 	2172 	2619 
141 	44909 	386 	836 	1285 	1734 	2183 	2632 
142 	45227 	387 	839 	1291 	1742 	2194 	2646 
143 	45546 	389 	843 	1297 	1751 	2205 	2659 
144 	45864 	390 	846 	1303 	1760 	2216 	2673 
145 	46183 	391 	850 	1309 	1768 	2227 	2686 
146 	46501 	392 	853 	1315 	1777 	2238 	2700 
147 	46820 	393 	857 	1321 	1785 	2249 	2714 
148 	47138 	394 	860 	1327 	1794 	2260 	2727 
149 	47457 	395 	864 	1333 	1802 	2271 	2741 
150 	47775 	396 	867 	1339 	1811 	2282 	2754 
151 	48094 	397 	871 	1345 	1819 	2293 	2768 
152 	48412 	398 	874 	1351 	1828 	2304 	2781 
153 	48731 	399 	878 	1357 	1836 	2315 	2795 
154 	49049 	400 	881 	1363 	1845 	2326 	2808 
155 	49368 	401 	885 	1369 	1853 	2337 	2822 
156 	49686 	402 	889 	1375 	1862 	2349 	2835 
157 	50005 	403 	892 	1381 	1870 	2360 	2849 
158 	50323 	404 	896 	1387 	1879 	2371 	2862 
159 	50642 	405 	899 	1393 	1887 	2382 	2876 
160 	50960 	406 	903 	1399 	1896 	2393 	2889 
161 	51279 	407 	906 	1405 	1904 	2404 	2903 
162 	51597 	408 	910 	1411 	1913 	2415 	2916 
163 	51916 	409 	913 	1417 	1921 	2425 	2930 
164 	52234 	410 	916 	1423 	1930 	2436 	2943 
165 	52553 	411 	920 	1429 	1938 	2447 	2957 
166 	52871 	412 	923 	1435 	1947 	2458 	2970 
167 	53190 	413 	927 	1441 	1955 	2469 	2984 
168 	53508 	414 	930 	1447 	1964 	2480 	2997 
169 	53827 	415 	934 	1453 	1972 	2491 	3011 
170 	54145 	416 	937 	1459 	1981 	2502 	3024 
171 	54464 	417 	941 	1465 	1989 	2513 	3038 
172 	54782 	418 	944 	1471 	1998 	2524 	3051 
173 	55101 	419 	948 	1477 	2006 	2535 	3064 
174 	55419 	420 	951 	1483 	2015 	2546 	3078 
175 	55738 	421 	955 	1489 	2023 	2557 	3091 
176 	56056 	421 	958 	1495 	2031 	2568 	3105 
177 	56375 	422 	962 	1501 	2040 	2579 	3118 
178 	56693 	423 	965 	1507 	2048 	2590 	3132 
179 	57012 	424 	969 	1513 	2057 	2601 	3145 
180 	57330 	425 	972 	1519 	2065 	2612 	3159 
181 	57649 	426 	975 	1525 	2074 	2623 	3172 
182 	57967 	427 	979 	1531 	2082 	2634 	3186 
183 	58286 	428 	982 	1536 	2091 	2645 	3199 
184 	58604 	429 	986 	1542 	2099 	2656 	3212 
185 	58923 	430 	989 	1548 	2108 	2667 	3226 
186 	59241 	431 	993 	1554 	2116 	2678 	3239 
187 	59560 	432 	996 	1560 	2124 	2689 	3253 
188 	59878 	433 	999 	1566 	2133 	2699 	3266 
189 	60197 	434 	1003 	1572 	2141 	2710 	3280 
190 	60515 	435 	1006 	1578 	2150 	2721 	3293 
191 	60834 	436 	1010 	1584 	2158 	2732 	3306 
192 	61152 	436 	1013 	1590 	2166 	2743 	3320 
193 	61471 	437 	1017 	1596 	2175 	2754 	3333 
194 	61789 	438 	1020 	1602 	2183 	2765 	3347 
195 	62108 	439 	1023 	1608 	2192 	2776 	3360 
196 	62426 	440 	1027 	1613 	2200 	2787 	3373 
197 	62745 	441 	1030 	1619 	2209 	2798 	3387 
198 	63063 	442 	1034 	1625 	2217 	2809 	3400 
199 	63382 	443 	1037 	1631 	2225 	2820 	3414 
200 	63700 	444 	1040 	1637 	2234 	2830 	3427 
